slice_degree,slice_definition,is_target_slice,support,support_pct,baseline_accuracy,sliceaware_accuracy,accuracy_delta_vs_baseline,baseline_gap_vs_overall,sliceaware_gap_vs_overall,gap_delta_vs_baseline,baseline_avg_true_winner_probability,sliceaware_avg_true_winner_probability,probability_delta_vs_baseline,delta_direction
2,round=RR & age_gap_bucket=6-8,False,26,0.0441,0.5769,0.6923,0.1154,-0.0332,0.0838,0.1171,0.5762,0.5711,-0.0052,up
2,round=R16 & form_gap_bucket=0.25-0.40,False,19,0.0322,0.7368,0.8421,0.1053,0.1267,0.2336,0.107,0.6218,0.6214,-0.0005,up
2,tourney_level=500 & age_gap_bucket=>8,False,20,0.0339,0.7,0.8,0.1,0.0898,0.1915,0.1017,0.6218,0.6106,-0.0113,up
2,tourney_level=500 & round=R16,False,30,0.0508,0.6333,0.7333,0.1,0.0232,0.1249,0.1017,0.5922,0.5868,-0.0054,up
2,round=R16 & age_gap_bucket=>8,False,23,0.039,0.5217,0.6087,0.087,-0.0884,0.0002,0.0887,0.5339,0.5388,0.0049,up
2,round=R32 & rank_gap_bucket=0-10,False,23,0.039,0.3913,0.4783,0.087,-0.2189,-0.1302,0.0887,0.5033,0.519,0.0157,up
2,tourney_level=D & rank_gap_bucket=26-50,False,12,0.0203,0.6667,0.75,0.0833,0.0565,0.1415,0.085,0.6401,0.6226,-0.0175,up
2,round=RR & rank_gap_bucket=26-50,False,13,0.022,0.6923,0.7692,0.0769,0.0821,0.1608,0.0786,0.6361,0.6217,-0.0144,up
2,tourney_level=D & rank_gap_bucket=0-10,False,13,0.022,0.3846,0.4615,0.0769,-0.2256,-0.1469,0.0786,0.5169,0.5067,-0.0102,up
2,round=R16 & rank_gap_bucket=26-50,False,27,0.0458,0.7037,0.7778,0.0741,0.0935,0.1693,0.0758,0.5977,0.5999,0.0022,up
2,round=R32 & age_gap_bucket=3-5,False,55,0.0932,0.4909,0.5636,0.0727,-0.1193,-0.0448,0.0744,0.5279,0.5308,0.0029,up
2,round=R128 & form_gap_bucket=0.00-0.10,False,14,0.0237,0.6429,0.7143,0.0714,0.0327,0.1058,0.0731,0.5236,0.5231,-0.0005,up
